
> abelion-notes@2.0.7 start
> npx http-server . -p 3000

Starting up http-server, serving .

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:3000
  http://192.168.0.2:3000
Hit CTRL-C to stop the server

[2026-02-06T10:27:10.162Z]  "GET /aksara/integrasi.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:10.163Z]  "GET /pustaka/OlivX%20logo.png" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:10.164Z]  "GET /pustaka/default-avatar.svg" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:12.102Z]  "GET /versi.json?t=1770373632100" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:12.570Z]  "GET /.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:12.571Z]  "GET /.env" Error (404): "Not found"
[2026-02-06T10:27:12.575Z]  "GET /lembaran/.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:12.576Z]  "GET /lembaran/.env" Error (404): "Not found"
[2026-02-06T10:27:13.666Z]  "GET /.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:13.667Z]  "GET /.env" Error (404): "Not found"
[2026-02-06T10:27:13.693Z]  "GET /lembaran/.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-06T10:27:13.693Z]  "GET /lembaran/.env" Error (404): "Not found"
[2026-02-06T10:27:14.104Z]  "GET /penjaga.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
http-server stopped.
